date,segment,visitors
2022-02-01,Desktop Traffic,10195
2022-02-02,Desktop Traffic,10560
2022-02-03,Desktop Traffic,9935
2022-02-04,Desktop Traffic,8501
2022-02-05,Desktop Traffic,5424
2022-02-06,Desktop Traffic,5971
2022-02-07,Desktop Traffic,9491
2022-02-08,Desktop Traffic,11551
2022-02-09,Desktop Traffic,10404
2022-02-10,Desktop Traffic,9778
2022-02-11,Desktop Traffic,9804
2022-02-12,Desktop Traffic,6154
2022-02-13,Desktop Traffic,7092
2022-02-14,Desktop Traffic,7197
2022-02-15,Desktop Traffic,7588
2022-02-16,Desktop Traffic,8866
2022-02-17,Desktop Traffic,7145
2022-02-18,Desktop Traffic,6388
2022-02-19,Desktop Traffic,4120
2022-02-20,Desktop Traffic,3755
2022-02-21,Desktop Traffic,5424
2022-02-22,Desktop Traffic,6545
2022-02-23,Desktop Traffic,6962
2022-02-24,Desktop Traffic,5606
2022-02-25,Desktop Traffic,5554
2022-02-26,Desktop Traffic,4016
2022-02-27,Desktop Traffic,4563
2022-02-28,Desktop Traffic,5476
2022-03-01,Desktop Traffic,5371
2022-03-02,Desktop Traffic,5710
2022-03-03,Desktop Traffic,5710
2022-03-04,Desktop Traffic,5033
2022-03-05,Desktop Traffic,3859
2022-03-06,Desktop Traffic,4120
2022-03-07,Desktop Traffic,6049
2022-03-08,Desktop Traffic,5398
2022-03-09,Desktop Traffic,5763
2022-03-10,Desktop Traffic,5606
2022-03-11,Desktop Traffic,5293
2022-03-12,Desktop Traffic,4094
2022-03-13,Desktop Traffic,7379
2022-03-14,Desktop Traffic,11212
2022-03-15,Desktop Traffic,14628
2022-03-16,Desktop Traffic,9570
2022-03-17,Desktop Traffic,8840
2022-03-18,Desktop Traffic,7979
2022-03-19,Desktop Traffic,7275
2022-03-20,Desktop Traffic,8709
2022-03-21,Desktop Traffic,12177
2022-03-22,Desktop Traffic,12386
2022-03-23,Desktop Traffic,11760
2022-03-24,Desktop Traffic,11890
2022-03-25,Desktop Traffic,11499
2022-03-26,Desktop Traffic,8318
2022-03-27,Desktop Traffic,17418
2022-03-28,Desktop Traffic,28370
2022-03-29,Desktop Traffic,27953
2022-03-30,Desktop Traffic,27822
2022-03-31,Desktop Traffic,24198
2022-04-01,Desktop Traffic,29726
2022-04-02,Desktop Traffic,38200
2022-04-03,Desktop Traffic,480592
2022-04-04,Desktop Traffic,229697
2022-04-05,Desktop Traffic,69829
2022-04-06,Desktop Traffic,40521
2022-04-07,Desktop Traffic,31264
2022-04-08,Desktop Traffic,24198
2022-04-09,Desktop Traffic,16949
2022-04-10,Desktop Traffic,15880
2022-04-11,Desktop Traffic,18305
2022-04-12,Desktop Traffic,14133
2022-04-13,Desktop Traffic,13820
2022-04-14,Desktop Traffic,10769
2022-04-15,Desktop Traffic,8631
2022-04-16,Desktop Traffic,7640
2022-04-17,Desktop Traffic,7692
2022-04-18,Desktop Traffic,9361
2022-04-19,Desktop Traffic,10274
2022-04-20,Desktop Traffic,9257
2022-04-21,Desktop Traffic,9074
2022-04-22,Desktop Traffic,8214
2022-04-23,Desktop Traffic,6493
2022-04-24,Desktop Traffic,6649
2022-04-25,Desktop Traffic,8996
2022-04-26,Desktop Traffic,8840
2022-04-27,Desktop Traffic,8631
2022-04-28,Desktop Traffic,8292
2022-04-29,Desktop Traffic,7275
2022-04-30,Desktop Traffic,4980
2022-05-01,Desktop Traffic,5580
2022-05-02,Desktop Traffic,8005
2022-05-03,Desktop Traffic,8344
2022-05-04,Desktop Traffic,8579
2022-05-05,Desktop Traffic,7275
2022-05-06,Desktop Traffic,5867
2022-05-07,Desktop Traffic,4198
2022-05-08,Desktop Traffic,4980
2022-05-09,Desktop Traffic,7796
2022-05-10,Desktop Traffic,8162
2022-05-11,Desktop Traffic,7275
2022-05-12,Desktop Traffic,7014
2022-05-13,Desktop Traffic,6780
2022-05-14,Desktop Traffic,4667
2022-05-15,Desktop Traffic,5163
2022-05-16,Desktop Traffic,7536
2022-05-17,Desktop Traffic,6962
2022-05-18,Desktop Traffic,6910
2022-05-19,Desktop Traffic,7692
2022-05-20,Desktop Traffic,6780
2022-05-21,Desktop Traffic,4042
2022-05-22,Desktop Traffic,5006
2022-05-23,Desktop Traffic,6858
2022-05-24,Desktop Traffic,6415
2022-05-25,Desktop Traffic,6102
2022-05-26,Desktop Traffic,5580
2022-05-27,Desktop Traffic,5424
2022-05-28,Desktop Traffic,3572
2022-05-29,Desktop Traffic,4407
2022-05-30,Desktop Traffic,4798
2022-05-31,Desktop Traffic,5319
2022-06-01,Desktop Traffic,5137
2022-06-02,Desktop Traffic,5059
2022-06-03,Desktop Traffic,5085
2022-06-04,Desktop Traffic,3025
2022-06-05,Desktop Traffic,3911
2022-06-06,Desktop Traffic,5476
2022-06-07,Desktop Traffic,5059
2022-06-08,Desktop Traffic,5424
2022-06-09,Desktop Traffic,7796
2022-06-10,Desktop Traffic,23233
2022-06-11,Desktop Traffic,21669
2022-06-12,Desktop Traffic,5893
2022-06-13,Desktop Traffic,6180
2022-06-14,Desktop Traffic,6519
2022-06-15,Desktop Traffic,6128
2022-06-16,Desktop Traffic,5606
2022-06-17,Desktop Traffic,4459
2022-06-18,Desktop Traffic,3781
2022-06-19,Desktop Traffic,3807
2022-06-20,Desktop Traffic,4798
2022-06-21,Desktop Traffic,4850
2022-06-22,Desktop Traffic,5111
2022-06-23,Desktop Traffic,4694
2022-06-24,Desktop Traffic,3546
2022-06-25,Desktop Traffic,2581
2022-06-26,Desktop Traffic,3207
2022-06-27,Desktop Traffic,4511
2022-06-28,Desktop Traffic,4042
2022-06-29,Desktop Traffic,5502
2022-06-30,Desktop Traffic,4355
2022-07-01,Desktop Traffic,3494
2022-07-02,Desktop Traffic,3051
2022-07-03,Desktop Traffic,3259
2022-07-04,Desktop Traffic,3364
2022-07-05,Desktop Traffic,4589
2022-07-06,Desktop Traffic,4876
2022-07-07,Desktop Traffic,3937
2022-07-08,Desktop Traffic,3833
2022-07-09,Desktop Traffic,2321
2022-07-10,Desktop Traffic,3025
2022-07-11,Desktop Traffic,5163
2022-07-12,Desktop Traffic,5241
2022-07-13,Desktop Traffic,4720
2022-07-14,Desktop Traffic,4902
2022-07-15,Desktop Traffic,7901
2022-07-16,Desktop Traffic,7875
2022-07-17,Desktop Traffic,3494
2022-07-18,Desktop Traffic,3390
2022-07-19,Desktop Traffic,2973
2022-07-20,Desktop Traffic,3051
2022-07-21,Desktop Traffic,3651
2022-07-22,Desktop Traffic,4746
2022-07-23,Desktop Traffic,3598
2022-07-24,Desktop Traffic,3312
2022-07-25,Desktop Traffic,4433
2022-07-26,Desktop Traffic,4276
2022-07-27,Desktop Traffic,4798
2022-07-28,Desktop Traffic,5137
2022-07-29,Desktop Traffic,4094
2022-07-30,Desktop Traffic,3025
2022-07-31,Desktop Traffic,3077
2022-08-01,Desktop Traffic,4042
2022-08-02,Desktop Traffic,4328
2022-08-03,Desktop Traffic,4615
2022-08-04,Desktop Traffic,4746
2022-08-05,Desktop Traffic,4328
2022-08-06,Desktop Traffic,3285
2022-08-07,Desktop Traffic,3494
2022-08-08,Desktop Traffic,5606
2022-08-09,Desktop Traffic,5345
2022-08-10,Desktop Traffic,4772
2022-08-11,Desktop Traffic,4902
2022-08-12,Desktop Traffic,4772
2022-08-13,Desktop Traffic,4120
2022-08-14,Desktop Traffic,2790
2022-08-15,Desktop Traffic,5059
2022-08-16,Desktop Traffic,5059
2022-08-17,Desktop Traffic,5424
2022-08-18,Desktop Traffic,4954
2022-08-19,Desktop Traffic,4381
2022-08-20,Desktop Traffic,3364
2022-08-21,Desktop Traffic,3729
2022-08-22,Desktop Traffic,5163
2022-08-23,Desktop Traffic,5476
2022-08-24,Desktop Traffic,6258
2022-08-25,Desktop Traffic,6362
2022-08-26,Desktop Traffic,5580
2022-08-27,Desktop Traffic,4328
2022-08-28,Desktop Traffic,3624
2022-08-29,Desktop Traffic,6467
2022-08-30,Desktop Traffic,5763
2022-08-31,Desktop Traffic,6102
2022-09-01,Desktop Traffic,5319
2022-09-02,Desktop Traffic,4068
2022-09-03,Desktop Traffic,3025
2022-09-04,Desktop Traffic,3859
2022-09-05,Desktop Traffic,3911
2022-09-06,Desktop Traffic,6128
2022-09-07,Desktop Traffic,5163
2022-09-08,Desktop Traffic,4120
2022-09-09,Desktop Traffic,5241
2022-09-10,Desktop Traffic,3051
2022-09-11,Desktop Traffic,4146
2022-09-12,Desktop Traffic,6336
2022-09-13,Desktop Traffic,6962
2022-09-14,Desktop Traffic,6049
2022-09-15,Desktop Traffic,5841
2022-09-16,Desktop Traffic,4772
2022-09-17,Desktop Traffic,3364
2022-09-18,Desktop Traffic,3494
2022-09-19,Desktop Traffic,5502
2022-09-20,Desktop Traffic,8083
2022-09-21,Desktop Traffic,6571
2022-09-22,Desktop Traffic,5971
2022-09-23,Desktop Traffic,5085
2022-09-24,Desktop Traffic,5371
2022-09-25,Desktop Traffic,5710
2022-09-26,Desktop Traffic,6962
2022-09-27,Desktop Traffic,5476
2022-09-28,Desktop Traffic,6206
2022-09-29,Desktop Traffic,6023
2022-09-30,Desktop Traffic,5502
2022-10-01,Desktop Traffic,3025
2022-10-02,Desktop Traffic,3781
2022-10-03,Desktop Traffic,6076
2022-10-04,Desktop Traffic,6441
2022-10-05,Desktop Traffic,5971
2022-10-06,Desktop Traffic,6649
2022-10-07,Desktop Traffic,5841
2022-10-08,Desktop Traffic,3520
2022-10-09,Desktop Traffic,3598
2022-10-10,Desktop Traffic,5684
2022-10-11,Desktop Traffic,8396
2022-10-12,Desktop Traffic,6832
2022-10-13,Desktop Traffic,9544
2022-10-14,Desktop Traffic,8944
2022-10-15,Desktop Traffic,4641
2022-10-16,Desktop Traffic,4746
2022-10-17,Desktop Traffic,6336
2022-10-18,Desktop Traffic,6597
2022-10-19,Desktop Traffic,7040
2022-10-20,Desktop Traffic,6701
2022-10-21,Desktop Traffic,5606
2022-10-22,Desktop Traffic,4120
2022-10-23,Desktop Traffic,4720
2022-10-24,Desktop Traffic,6128
2022-10-25,Desktop Traffic,7744
2022-10-26,Desktop Traffic,6623
2022-10-27,Desktop Traffic,6441
2022-10-28,Desktop Traffic,5658
2022-10-29,Desktop Traffic,3312
2022-10-30,Desktop Traffic,3833
2022-10-31,Desktop Traffic,4876
2022-11-01,Desktop Traffic,6519
2022-11-02,Desktop Traffic,7066
2022-11-03,Desktop Traffic,6258
2022-11-04,Desktop Traffic,6076
2022-11-05,Desktop Traffic,3833
2022-11-06,Desktop Traffic,4094
2022-11-07,Desktop Traffic,7353
2022-11-08,Desktop Traffic,6388
2022-11-09,Desktop Traffic,6753
2022-11-10,Desktop Traffic,6284
2022-11-11,Desktop Traffic,5137
2022-11-12,Desktop Traffic,3911
2022-11-13,Desktop Traffic,5267
2022-11-14,Desktop Traffic,10143
2022-11-15,Desktop Traffic,149698
2022-11-16,Desktop Traffic,78095
2022-11-17,Desktop Traffic,39321
2022-11-18,Desktop Traffic,28083
2022-11-19,Desktop Traffic,13116
2022-11-20,Desktop Traffic,12803
2022-11-21,Desktop Traffic,15802
2022-11-22,Desktop Traffic,12099
2022-11-23,Desktop Traffic,8370
2022-11-24,Desktop Traffic,5710
2022-11-25,Desktop Traffic,5450
2022-11-26,Desktop Traffic,5867
2022-11-27,Desktop Traffic,6467
2022-11-28,Desktop Traffic,9283
2022-11-29,Desktop Traffic,8657
2022-11-30,Desktop Traffic,9178
2022-12-01,Desktop Traffic,8448
2022-12-02,Desktop Traffic,7536
2022-12-03,Desktop Traffic,5815
2022-12-04,Desktop Traffic,6441
2022-12-05,Desktop Traffic,8553
2022-12-06,Desktop Traffic,8631
2022-12-07,Desktop Traffic,8996
2022-12-08,Desktop Traffic,7927
2022-12-09,Desktop Traffic,5945
2022-12-10,Desktop Traffic,4433
2022-12-11,Desktop Traffic,5137
2022-12-12,Desktop Traffic,7301
2022-12-13,Desktop Traffic,7197
2022-12-14,Desktop Traffic,6910
2022-12-15,Desktop Traffic,7040
2022-12-16,Desktop Traffic,5997
2022-12-17,Desktop Traffic,3442
2022-12-18,Desktop Traffic,4120
2022-12-19,Desktop Traffic,5424
2022-12-20,Desktop Traffic,5684
2022-12-21,Desktop Traffic,8918
2022-12-22,Desktop Traffic,6910
2022-12-23,Desktop Traffic,4146
2022-12-24,Desktop Traffic,3207
2022-12-25,Desktop Traffic,2634
2022-12-26,Desktop Traffic,4042
2022-12-27,Desktop Traffic,4511
2022-12-28,Desktop Traffic,5371
2022-12-29,Desktop Traffic,4746
2022-12-30,Desktop Traffic,5059
2022-12-31,Desktop Traffic,5006
2023-01-01,Desktop Traffic,4694
2023-01-02,Desktop Traffic,4902
2023-01-03,Desktop Traffic,6832
2023-01-04,Desktop Traffic,7536
2023-01-05,Desktop Traffic,7458
2023-01-06,Desktop Traffic,6780
2023-01-07,Desktop Traffic,4068
2023-01-08,Desktop Traffic,6206
2023-01-09,Desktop Traffic,8344
2023-01-10,Desktop Traffic,10065
2023-01-11,Desktop Traffic,10221
2023-01-12,Desktop Traffic,9257
2023-01-13,Desktop Traffic,7901
2023-01-14,Desktop Traffic,5033
2023-01-15,Desktop Traffic,5424
2023-01-16,Desktop Traffic,5267
2023-01-17,Desktop Traffic,9387
2023-01-18,Desktop Traffic,9622
2023-01-19,Desktop Traffic,9152
2023-01-20,Desktop Traffic,8944
2023-01-21,Desktop Traffic,5424
2023-01-22,Desktop Traffic,6441
2023-01-23,Desktop Traffic,8813
2023-01-24,Desktop Traffic,14159
2023-01-25,Desktop Traffic,14550
2023-01-26,Desktop Traffic,13950
2023-01-27,Desktop Traffic,12073
2023-01-28,Desktop Traffic,8057
2023-01-29,Desktop Traffic,12542
2023-01-30,Desktop Traffic,18070
2023-01-31,Desktop Traffic,18461
2023-02-01,Desktop Traffic,19687
2023-02-02,Desktop Traffic,22425
2023-02-03,Desktop Traffic,29934
2023-02-04,Desktop Traffic,34106
2023-02-05,Desktop Traffic,546015
2023-02-06,Desktop Traffic,348235
2023-02-07,Desktop Traffic,90950
2023-02-08,Desktop Traffic,51029
2023-02-09,Desktop Traffic,38722
2023-02-10,Desktop Traffic,28239
2023-02-11,Desktop Traffic,22190
2023-02-12,Desktop Traffic,20547
2023-02-13,Desktop Traffic,23207
2023-02-14,Desktop Traffic,15489
2023-02-15,Desktop Traffic,15202
2023-02-16,Desktop Traffic,13403
2023-02-17,Desktop Traffic,12125
2023-02-18,Desktop Traffic,7588
2023-02-19,Desktop Traffic,7119
2023-02-20,Desktop Traffic,8005
2023-02-21,Desktop Traffic,8735
2023-02-22,Desktop Traffic,9309
2023-02-23,Desktop Traffic,8631
2023-02-24,Desktop Traffic,8892
2023-02-25,Desktop Traffic,5319
2023-02-26,Desktop Traffic,5371
2023-02-27,Desktop Traffic,7458
2023-02-28,Desktop Traffic,7536
2023-03-01,Desktop Traffic,6962
2023-03-02,Desktop Traffic,7327
2023-03-03,Desktop Traffic,5137
2023-03-04,Desktop Traffic,4589
2023-03-05,Desktop Traffic,3937
2023-03-06,Desktop Traffic,6727
2023-03-07,Desktop Traffic,7197
2023-03-08,Desktop Traffic,6649
2023-03-09,Desktop Traffic,7119
2023-03-10,Desktop Traffic,5424
2023-03-11,Desktop Traffic,4094
2023-03-12,Desktop Traffic,6910
2023-03-13,Desktop Traffic,8944
2023-03-14,Desktop Traffic,6336
2023-03-15,Desktop Traffic,6649
2023-03-16,Desktop Traffic,6675
2023-03-17,Desktop Traffic,5763
2023-03-18,Desktop Traffic,5606
2023-03-19,Desktop Traffic,4876
2023-03-20,Desktop Traffic,4980
2023-03-21,Desktop Traffic,6727
2023-03-22,Desktop Traffic,6519
2023-03-23,Desktop Traffic,6884
2023-03-24,Desktop Traffic,5971
2023-03-25,Desktop Traffic,4198
2023-03-26,Desktop Traffic,3990
2023-03-27,Desktop Traffic,4355
2023-03-28,Desktop Traffic,6832
2023-03-29,Desktop Traffic,6076
2023-03-30,Desktop Traffic,6467
2023-03-31,Desktop Traffic,4641
2023-04-01,Desktop Traffic,2790
2023-04-02,Desktop Traffic,2295
2023-04-03,Desktop Traffic,6519
2023-04-04,Desktop Traffic,6701
2023-04-05,Desktop Traffic,6310
2023-04-06,Desktop Traffic,6180
2023-04-07,Desktop Traffic,4824
2023-04-08,Desktop Traffic,4016
2023-04-09,Desktop Traffic,7249
2023-04-10,Desktop Traffic,6649
2023-04-11,Desktop Traffic,6232
2023-04-12,Desktop Traffic,6493
2023-04-13,Desktop Traffic,6180
2023-04-14,Desktop Traffic,4876
2023-04-15,Desktop Traffic,3859
2023-04-16,Desktop Traffic,3729
2023-04-17,Desktop Traffic,4876
2023-04-18,Desktop Traffic,6076
2023-04-19,Desktop Traffic,7197
2023-04-20,Desktop Traffic,6232
2023-04-21,Desktop Traffic,5684
2023-04-22,Desktop Traffic,3963
2023-04-23,Desktop Traffic,3338
2023-04-24,Desktop Traffic,5111
2023-04-25,Desktop Traffic,7744
2023-04-26,Desktop Traffic,6806
2023-04-27,Desktop Traffic,6493
2023-04-28,Desktop Traffic,5059
2023-04-29,Desktop Traffic,3755
2023-04-30,Desktop Traffic,3651
2023-05-01,Desktop Traffic,4433
2023-05-02,Desktop Traffic,4798
2023-05-03,Desktop Traffic,7301
2023-05-04,Desktop Traffic,6597
2023-05-05,Desktop Traffic,5424
2023-05-06,Desktop Traffic,3103
2023-05-07,Desktop Traffic,3025
2023-05-08,Desktop Traffic,6910
2023-05-09,Desktop Traffic,7249
2023-05-10,Desktop Traffic,6467
2023-05-11,Desktop Traffic,6206
2023-05-12,Desktop Traffic,4798
2023-05-13,Desktop Traffic,3025
2023-05-14,Desktop Traffic,2712
2023-05-15,Desktop Traffic,4407
2023-05-16,Desktop Traffic,4850
2023-05-17,Desktop Traffic,5241
2023-05-18,Desktop Traffic,5189
2023-05-19,Desktop Traffic,5137
2023-05-20,Desktop Traffic,3859
2023-05-21,Desktop Traffic,3781
2023-05-22,Desktop Traffic,4016
2023-05-23,Desktop Traffic,6545
2023-05-24,Desktop Traffic,6362
2023-05-25,Desktop Traffic,5710
2023-05-26,Desktop Traffic,4537
2023-05-27,Desktop Traffic,2920
2023-05-28,Desktop Traffic,2738
2023-05-29,Desktop Traffic,3729
2023-05-30,Desktop Traffic,5371
2023-05-31,Desktop Traffic,8527
2023-06-01,Desktop Traffic,6154
2023-06-02,Desktop Traffic,3520
2023-06-03,Desktop Traffic,2999
2023-06-04,Desktop Traffic,3103
2023-06-05,Desktop Traffic,4824
2023-06-06,Desktop Traffic,6206
2023-06-07,Desktop Traffic,5606
2023-06-08,Desktop Traffic,5006
2023-06-09,Desktop Traffic,4641
2023-06-10,Desktop Traffic,2764
2023-06-11,Desktop Traffic,2451
2023-06-12,Desktop Traffic,3990
2023-06-13,Desktop Traffic,7014
2023-06-14,Desktop Traffic,5267
2023-06-15,Desktop Traffic,5502
2023-06-16,Desktop Traffic,5059
2023-06-17,Desktop Traffic,3051
2023-06-18,Desktop Traffic,3572
2023-06-19,Desktop Traffic,3416
2023-06-20,Desktop Traffic,5606
2023-06-21,Desktop Traffic,4824
2023-06-22,Desktop Traffic,6988
2023-06-23,Desktop Traffic,4928
2023-06-24,Desktop Traffic,2764
2023-06-25,Desktop Traffic,3025
2023-06-26,Desktop Traffic,4302
2023-06-27,Desktop Traffic,5528
2023-06-28,Desktop Traffic,4928
2023-06-29,Desktop Traffic,5554
2023-06-30,Desktop Traffic,6336
