date,visitors,pageviews,sessions,bounced_sessions,avg_session_duration_secs,awards_week,awards_night
2022-02-01,928,2856,1092,591,148,0,0
2022-02-02,1329,3233,1490,923,90,0,0
2022-02-03,1138,3340,1322,754,127,0,0
2022-02-04,811,2552,963,534,142,0,0
2022-02-05,541,1530,602,326,111,0,0
2022-02-06,536,1669,610,339,147,0,0
2022-02-07,921,3512,1117,567,198,0,0
2022-02-08,1106,3662,1296,661,163,0,0
2022-02-09,1181,4209,1382,725,150,0,0
2022-02-10,1134,3473,1341,727,140,0,0
2022-02-11,871,3263,1045,577,183,0,0
2022-02-12,628,1791,726,418,116,0,0
2022-02-13,658,1861,766,443,122,0,0
2022-02-14,1111,4054,1365,687,167,0,0
2022-02-15,1331,4734,1656,849,171,0,0
2022-02-16,1136,3648,1350,722,148,0,0
2022-02-17,1121,3612,1319,711,138,0,0
2022-02-18,1077,3590,1283,742,159,0,0
2022-02-19,726,1954,830,515,128,0,0
2022-02-20,717,1927,828,511,146,0,0
2022-02-21,1071,3469,1278,717,144,0,0
2022-02-22,1498,5491,1842,968,159,0,0
2022-02-23,1584,6208,1937,936,169,0,0
2022-02-24,1367,5040,1697,852,194,0,0
2022-02-25,1513,4637,1818,991,141,0,0
2022-02-26,925,2699,1085,602,129,0,0
2022-02-27,952,3214,1161,565,201,0,0
2022-02-28,1966,8951,2717,1114,237,0,0
2022-03-01,1571,6180,2073,1008,188,0,0
2022-03-02,1052,2885,1207,719,107,0,0
2022-03-03,1012,2752,1194,717,117,0,0
2022-03-04,831,2431,977,582,126,0,0
2022-03-05,579,1409,648,412,89,0,0
2022-03-06,653,1574,719,462,98,0,0
2022-03-07,1015,2878,1175,723,127,0,0
2022-03-08,1493,3662,1703,966,99,0,0
2022-03-09,1111,3393,1293,753,112,0,0
2022-03-10,1000,2796,1160,696,101,0,0
2022-03-11,925,2592,1082,648,116,0,0
2022-03-12,637,1589,722,456,115,0,0
2022-03-13,720,1622,792,492,67,0,0
2022-03-14,1109,2742,1254,765,99,0,0
2022-03-15,1974,4475,2199,1365,73,0,0
2022-03-16,1433,3572,1622,993,93,0,0
2022-03-17,1186,2802,1331,854,85,0,0
2022-03-18,1320,2796,1483,1042,80,0,0
2022-03-19,978,2000,1100,756,69,0,0
2022-03-20,1006,2165,1103,722,72,0,0
2022-03-21,1508,3417,1682,1080,84,0,0
2022-03-22,1701,3735,1894,1230,73,0,0
2022-03-23,1519,3374,1726,1137,91,0,0
2022-03-24,1603,3748,1823,1148,105,0,0
2022-03-25,1387,3329,1586,1042,97,0,0
2022-03-26,1113,2419,1240,840,94,0,0
2022-03-27,2656,4702,2890,2013,55,0,0
2022-03-28,4746,9155,5278,3561,59,0,0
2022-03-29,4532,9373,5008,3251,64,0,0
2022-03-30,3711,8221,4171,2662,77,0,0
2022-03-31,3118,6953,3479,2281,78,0,0
2022-04-01,3918,8155,4309,2829,67,1,0
2022-04-02,6955,12913,7465,5174,54,1,0
2022-04-03,65411,114987,70782,49152,53,1,1
2022-04-04,15241,27645,16523,11763,57,1,0
2022-04-05,5493,10697,6066,4241,69,1,0
2022-04-06,3061,6253,3452,2383,73,1,0
2022-04-07,2281,4857,2560,1694,88,0,0
2022-04-08,1855,3833,2069,1401,76,0,0
2022-04-09,1528,2844,1700,1255,61,0,0
2022-04-10,1165,2336,1308,920,78,0,0
2022-04-11,1481,3440,1695,1110,92,0,0
2022-04-12,1278,3721,1558,954,136,0,0
2022-04-13,1127,2813,1278,790,132,0,0
2022-04-14,1011,2270,1146,769,91,0,0
2022-04-15,812,1781,900,589,82,0,0
2022-04-16,665,1375,753,529,80,0,0
2022-04-17,687,1521,782,530,84,0,0
2022-04-18,1014,2311,1138,737,85,0,0
2022-04-19,1017,2534,1147,729,102,0,0
2022-04-20,916,2232,1072,686,110,0,0
2022-04-21,994,2350,1145,723,92,0,0
2022-04-22,862,2105,988,636,120,0,0
2022-04-23,660,1415,767,533,68,0,0
2022-04-24,663,1368,750,525,80,0,0
2022-04-25,1282,3091,1528,983,97,0,0
2022-04-26,1092,3324,1296,845,112,0,0
2022-04-27,1088,3052,1298,837,98,0,0
2022-04-28,1748,3652,2049,1518,79,0,0
2022-04-29,977,2304,1151,771,81,0,0
2022-04-30,658,1448,741,532,70,0,0
2022-05-01,700,1544,813,580,76,0,0
2022-05-02,878,2311,990,631,100,0,0
2022-05-03,1338,2777,1482,1026,88,0,0
2022-05-04,979,2139,1111,751,90,0,0
2022-05-05,887,2971,1047,652,126,0,0
2022-05-06,818,2363,944,599,121,0,0
2022-05-07,541,1118,607,418,79,0,0
2022-05-08,589,1260,649,464,92,0,0
2022-05-09,908,2244,1026,662,105,0,0
2022-05-10,1066,2661,1234,798,106,0,0
2022-05-11,943,2459,1083,698,107,0,0
2022-05-12,1303,2982,1492,1047,97,0,0
2022-05-13,1100,2713,1246,814,92,0,0
2022-05-14,701,1446,786,550,66,0,0
2022-05-15,715,1538,789,543,96,0,0
2022-05-16,1085,2626,1219,808,98,0,0
2022-05-17,1078,3435,1252,768,129,0,0
2022-05-18,1015,3480,1179,764,147,0,0
2022-05-19,867,1937,985,665,89,0,0
2022-05-20,800,1582,873,607,73,0,0
2022-05-21,590,1074,648,457,56,0,0
2022-05-22,646,1074,697,521,52,0,0
2022-05-23,925,1798,1036,750,66,0,0
2022-05-24,977,1765,1077,797,71,0,0
2022-05-25,928,1646,1037,756,61,0,0
2022-05-26,987,1810,1090,805,75,0,0
2022-05-27,844,1381,920,712,60,0,0
2022-05-28,814,1249,881,728,69,0,0
2022-05-29,552,1098,609,479,63,0,0
2022-05-30,619,1146,683,496,55,0,0
2022-05-31,787,1473,872,625,80,0,0
2022-06-01,1548,2937,1737,1229,63,0,0
2022-06-02,1060,2050,1178,829,76,0,0
2022-06-03,874,1780,968,690,93,0,0
2022-06-04,636,1142,708,530,69,0,0
2022-06-05,673,1275,731,523,86,0,0
2022-06-06,993,1801,1086,784,63,0,0
2022-06-07,1042,2184,1176,829,94,0,0
2022-06-08,1077,2024,1216,884,67,0,0
2022-06-09,1090,1010,513,339,152,0,0
2022-06-10,634,746,96,39,543,0,0
2022-06-11,299,121,19,7,517,0,0
2022-06-12,324,235,21,6,1269,0,0
2022-06-13,497,582,62,14,707,0,0
2022-06-14,742,2931,256,118,272,0,0
2022-06-15,920,4471,824,477,199,0,0
2022-06-16,1397,4204,1627,1114,85,0,0
2022-06-17,1210,2810,1373,986,92,0,0
2022-06-18,970,1707,1074,788,63,0,0
2022-06-19,867,1486,936,705,61,0,0
2022-06-20,1024,2188,1173,819,87,0,0
2022-06-21,1436,3587,1756,1176,98,0,0
2022-06-22,1660,3966,1980,1367,83,0,0
2022-06-23,1331,4801,1635,1117,157,0,0
2022-06-24,895,3035,1108,758,170,0,0
2022-06-25,609,2004,734,515,223,0,0
2022-06-26,598,3180,724,511,276,0,0
2022-06-27,928,2248,1165,765,145,0,0
2022-06-28,1875,4975,2302,1384,139,0,0
2022-06-29,1741,4458,2181,1313,113,0,0
2022-06-30,1470,3707,1796,1101,107,0,0
2022-07-01,1263,3291,1534,918,99,0,0
2022-07-02,790,1953,968,597,79,0,0
2022-07-03,708,1618,823,504,103,0,0
2022-07-04,639,1305,760,533,89,0,0
2022-07-05,1273,2921,1560,1065,85,0,0
2022-07-06,1169,2757,1389,914,83,0,0
2022-07-07,956,2246,1238,807,98,0,0
2022-07-08,795,1845,992,669,112,0,0
2022-07-09,573,1123,686,475,82,0,0
2022-07-10,563,1183,664,446,81,0,0
2022-07-11,1169,2830,1516,985,108,0,0
2022-07-12,1320,2946,1663,1114,93,0,0
2022-07-13,1113,2548,1448,966,119,0,0
2022-07-14,1219,2880,1543,1042,117,0,0
2022-07-15,898,2085,1157,801,107,0,0
2022-07-16,682,1541,816,580,131,0,0
2022-07-17,615,1347,730,513,104,0,0
2022-07-18,1225,2876,1550,1044,126,0,0
2022-07-19,1305,2958,1659,1175,112,0,0
2022-07-20,1410,3491,1795,1219,164,0,0
2022-07-21,1258,3064,1613,1056,162,0,0
2022-07-22,1034,2193,1334,925,104,0,0
2022-07-23,730,1482,887,636,81,0,0
2022-07-24,606,1389,787,567,90,0,0
2022-07-25,1089,2558,1390,1010,93,0,0
2022-07-26,1032,2483,1417,963,82,0,0
2022-07-27,1109,2675,1446,998,97,0,0
2022-07-28,993,3075,1356,903,127,0,0
2022-07-29,1087,2353,1393,985,89,0,0
2022-07-30,673,1314,834,627,64,0,0
2022-07-31,633,1258,769,563,59,0,0
2022-08-01,973,2055,1207,812,84,0,0
2022-08-02,1063,2251,1341,959,89,0,0
2022-08-03,1136,2289,1400,994,65,0,0
2022-08-04,1328,2621,1595,1143,85,0,0
2022-08-05,1053,2721,1322,940,177,0,0
2022-08-06,739,2115,925,685,224,0,0
2022-08-07,761,1928,917,701,127,0,0
2022-08-08,1212,2493,1492,1075,79,0,0
2022-08-09,1213,3230,1524,821,126,0,0
2022-08-10,1037,4184,1321,118,118,0,0
2022-08-11,1086,4370,1367,127,125,0,0
2022-08-12,1044,3901,1304,125,83,0,0
2022-08-13,751,3055,936,119,107,0,0
2022-08-14,719,2631,912,75,71,0,0
2022-08-15,1114,4493,1415,125,93,0,0
2022-08-16,1081,4713,1406,110,145,0,0
2022-08-17,1284,5535,1687,109,150,0,0
2022-08-18,1082,4582,1424,89,144,0,0
2022-08-19,1064,4047,1362,112,110,0,0
2022-08-20,758,2744,951,88,91,0,0
2022-08-21,800,3073,1038,79,141,0,0
2022-08-22,1272,4843,1634,97,106,0,0
2022-08-23,1295,5388,1711,107,114,0,0
2022-08-24,1373,5466,1721,126,105,0,0
2022-08-25,1383,5278,1754,119,111,0,0
2022-08-26,1261,4638,1546,124,102,0,0
2022-08-27,817,3146,1032,105,95,0,0
2022-08-28,989,3511,1230,71,71,0,0
2022-08-29,1558,5890,2015,144,100,0,0
2022-08-30,1539,6951,2068,119,126,0,0
2022-08-31,2147,7972,2679,127,109,0,0
2022-09-01,1330,5228,1718,137,114,0,0
2022-09-02,1041,3745,1313,116,101,0,0
2022-09-03,600,1922,707,76,85,0,0
2022-09-04,651,2275,780,76,86,0,0
2022-09-05,851,2901,1003,88,109,0,0
2022-09-06,1049,4600,1342,113,134,0,0
2022-09-07,984,3920,1278,105,103,0,0
2022-09-08,1047,4185,1343,95,147,0,0
2022-09-09,1158,4227,1416,113,98,0,0
2022-09-10,593,2113,733,117,98,0,0
2022-09-11,610,2185,759,93,93,0,0
2022-09-12,1125,4175,1434,116,116,0,0
2022-09-13,1490,5561,1846,120,97,0,0
2022-09-14,1206,4594,1527,101,92,0,0
2022-09-15,1321,5016,1647,116,100,0,0
2022-09-16,1083,4399,1381,75,112,0,0
2022-09-17,654,2216,824,94,66,0,0
2022-09-18,640,2307,799,90,99,0,0
2022-09-19,1347,4817,1640,117,89,0,0
2022-09-20,2127,6692,2477,159,66,0,0
2022-09-21,1382,5022,1707,125,119,0,0
2022-09-22,1337,4971,1727,135,84,0,0
2022-09-23,1141,4382,1417,102,92,0,0
2022-09-24,725,2234,886,209,94,0,0
2022-09-25,817,2885,974,206,98,0,0
2022-09-26,1333,4703,1603,173,86,0,0
2022-09-27,1363,5174,1649,98,138,0,0
2022-09-28,1343,5184,1679,135,107,0,0
2022-09-29,1345,5045,1665,115,119,0,0
2022-09-30,1540,6126,1912,118,122,0,0
2022-10-01,1297,4353,1480,106,57,0,0
2022-10-02,2553,8530,2875,517,67,0,0
2022-10-03,2504,9575,3006,288,103,0,0
2022-10-04,1876,7250,2301,116,117,0,0
2022-10-05,1601,6688,2013,57,126,0,0
2022-10-06,1942,7979,2466,79,128,0,0
2022-10-07,1366,5168,1687,64,112,0,0
2022-10-08,835,2899,1010,59,68,0,0
2022-10-09,840,3030,1015,47,96,0,0
2022-10-10,1429,5341,1741,61,103,0,0
2022-10-11,3688,12321,4195,95,101,0,0
2022-10-12,3525,13224,4247,110,100,0,0
2022-10-13,11797,44500,13620,243,66,0,0
2022-10-14,9872,36593,11327,228,66,0,0
2022-10-15,4951,18032,5609,105,66,0,0
2022-10-16,4003,14968,4582,103,67,0,0
2022-10-17,5034,18634,5893,144,76,0,0
2022-10-18,5367,20446,6294,140,91,0,0
2022-10-19,5866,20983,6720,109,72,0,0
2022-10-20,4678,16412,5414,93,67,0,0
2022-10-21,4246,16224,4936,102,73,0,0
2022-10-22,3716,14263,4255,100,65,0,0
2022-10-23,6353,24953,7257,78,65,0,0
2022-10-24,3377,12692,3977,82,86,0,0
2022-10-25,2040,7907,2443,54,121,0,0
2022-10-26,1811,7009,2222,64,121,0,0
2022-10-27,1680,6546,2035,74,142,0,0
2022-10-28,1305,4586,1514,47,85,0,0
2022-10-29,897,3156,1037,55,86,0,0
2022-10-30,972,3496,1116,17,70,0,0
2022-10-31,1251,4734,1543,34,91,0,0
2022-11-01,1517,6560,1887,38,133,0,0
2022-11-02,1612,6107,1940,40,97,0,0
2022-11-03,1409,5882,1774,51,119,0,0
2022-11-04,1147,4383,1398,38,98,0,0
2022-11-05,883,3151,1029,49,111,0,0
2022-11-06,916,3350,1089,41,88,0,0
2022-11-07,1521,5130,1726,41,82,0,0
2022-11-08,1332,4876,1583,38,78,0,0
2022-11-09,1233,4585,1479,36,93,0,0
2022-11-10,1413,5606,1767,48,89,0,0
2022-11-11,1068,4047,1293,40,106,0,0
2022-11-12,898,3404,1051,51,70,0,0
2022-11-13,1077,3706,1238,31,71,0,0
2022-11-14,2383,8805,2791,282,108,0,0
2022-11-15,21558,73647,23876,1968,69,1,1
2022-11-16,9843,34442,11247,1226,79,1,0
2022-11-17,7315,24683,8304,1797,99,0,0
2022-11-18,3882,13079,4587,954,94,0,0
2022-11-19,2425,8359,2814,510,90,0,0
2022-11-20,2476,8463,2855,414,81,0,0
2022-11-21,2454,9306,3034,477,97,0,0
2022-11-22,1947,7482,2387,388,111,0,0
2022-11-23,1490,5636,1758,278,124,0,0
2022-11-24,1111,4097,1335,198,137,0,0
2022-11-25,1092,4166,1290,228,117,0,0
2022-11-26,1070,3823,1230,215,94,0,0
2022-11-27,1038,3748,1196,183,135,0,0
2022-11-28,2179,9463,2739,578,160,0,0
2022-11-29,2047,8804,2586,561,165,0,0
2022-11-30,1812,7907,2330,408,165,0,0
2022-12-01,1651,6934,2127,404,145,0,0
2022-12-02,1392,6520,1755,327,188,0,0
2022-12-03,989,3685,1160,224,129,0,0
2022-12-04,1236,5126,1442,207,117,0,0
2022-12-05,1714,7819,2256,430,163,0,0
2022-12-06,2140,9894,2734,539,176,0,0
2022-12-07,4256,29158,6458,1647,350,0,0
2022-12-08,2053,8875,2665,628,160,0,0
2022-12-09,1598,6460,1995,449,152,0,0
2022-12-10,1065,4000,1268,297,138,0,0
2022-12-11,1003,4198,1218,223,128,0,0
2022-12-12,1784,7476,2213,490,152,0,0
2022-12-13,1850,8109,2304,450,154,0,0
2022-12-14,3850,15743,4722,848,144,0,0
2022-12-15,2863,11821,3439,549,132,0,0
2022-12-16,2070,8804,2513,440,166,0,0
2022-12-17,1452,5647,1736,310,111,0,0
2022-12-18,1309,4985,1580,292,106,0,0
2022-12-19,1693,6783,2100,431,170,0,0
2022-12-20,1743,7171,2178,452,164,0,0
2022-12-21,1890,7597,2372,519,151,0,0
2022-12-22,1544,6421,1894,368,156,0,0
2022-12-23,1198,4302,1433,271,99,0,0
2022-12-24,820,3003,981,202,116,0,0
2022-12-25,735,3053,873,181,163,0,0
2022-12-26,1062,4284,1270,261,149,0,0
2022-12-27,1204,4983,1437,266,160,0,0
2022-12-28,1741,7374,2155,456,190,0,0
2022-12-29,1621,7079,1986,418,221,0,0
2022-12-30,1407,5356,1678,308,164,0,0
2022-12-31,1107,4012,1301,253,90,0,0
2023-01-01,1290,4887,1522,278,124,0,0
2023-01-02,3208,12519,3840,552,124,0,0
2023-01-03,4813,19933,5920,1096,173,0,0
2023-01-04,7721,30001,9344,1820,130,0,0
2023-01-05,2661,10505,3206,712,127,0,0
2023-01-06,1871,7882,2295,432,145,0,0
2023-01-07,1202,4420,1423,275,113,0,0
2023-01-08,1294,5143,1503,276,129,0,0
2023-01-09,2131,8856,2562,438,133,0,0
2023-01-10,2341,10018,2852,520,157,0,0
2023-01-11,2389,10388,3020,524,142,0,0
2023-01-12,2062,8428,2582,490,136,0,0
2023-01-13,1902,7908,2390,520,146,0,0
2023-01-14,1284,4952,1577,326,120,0,0
2023-01-15,1334,5448,1656,316,124,0,0
2023-01-16,1456,6463,1858,304,166,0,0
2023-01-17,2209,9858,2806,538,159,0,0
2023-01-18,2252,9380,2841,589,154,0,0
2023-01-19,2150,9507,2700,543,153,0,0
2023-01-20,1938,8322,2440,421,172,0,0
2023-01-21,1431,5560,1741,365,130,0,0
2023-01-22,2325,8399,2757,398,100,0,0
2023-01-23,2627,11517,3303,571,162,0,0
2023-01-24,2842,12622,3558,621,160,0,0
2023-01-25,2919,12116,3674,668,146,0,0
2023-01-26,2786,11842,3447,537,155,0,0
2023-01-27,2382,10047,2996,533,148,0,0
2023-01-28,1706,6936,2080,310,132,0,0
2023-01-29,3212,11975,3830,444,98,0,0
2023-01-30,3958,16517,4883,763,149,0,0
2023-01-31,4051,17993,5114,814,152,0,0
2023-02-01,4393,18337,5354,798,137,0,0
2023-02-02,4851,19186,5815,741,126,0,0
2023-02-03,6366,23321,7448,902,96,1,0
2023-02-04,7618,27906,8796,1118,79,1,0
2023-02-05,65106,180432,69413,15202,56,1,1
2023-02-06,21736,66012,24058,3953,72,1,0
2023-02-07,9349,30780,10672,2000,99,1,0
2023-02-08,5839,21176,6944,1318,114,1,0
2023-02-09,4395,16272,5240,1106,126,0,0
2023-02-10,3178,11740,3831,844,142,0,0
2023-02-11,2485,8561,2879,683,148,0,0
2023-02-12,2243,7739,2591,554,139,0,0
2023-02-13,2815,11892,3553,891,187,0,0
2023-02-14,2617,12639,3377,872,198,0,0
2023-02-15,2835,12653,3742,988,182,0,0
2023-02-16,2910,12080,3656,1082,191,0,0
2023-02-17,2142,8522,2631,758,179,0,0
2023-02-18,1359,5421,1655,430,192,0,0
2023-02-19,1705,6358,2029,623,170,0,0
2023-02-20,1876,7863,2390,659,170,0,0
2023-02-21,2378,10328,3124,929,174,0,0
2023-02-22,2715,11646,3483,1070,182,0,0
2023-02-23,2387,11081,3118,858,203,0,0
2023-02-24,2049,9244,2659,723,190,0,0
2023-02-25,1355,5747,1718,446,179,0,0
2023-02-26,1537,7705,1964,526,212,0,0
2023-02-27,2940,17107,4185,1176,287,0,0
2023-02-28,3627,22170,5350,1548,294,0,0
2023-03-01,3171,18295,4468,1284,261,0,0
2023-03-02,2612,10955,3245,761,161,0,0
2023-03-03,2364,9465,2898,699,157,0,0
2023-03-04,1644,6164,1942,491,148,0,0
2023-03-05,1160,4484,1390,345,132,0,0
2023-03-06,1835,8505,2386,525,188,0,0
2023-03-07,2104,9600,2649,532,192,0,0
2023-03-08,2020,8962,2642,496,167,0,0
2023-03-09,1859,8820,2432,513,205,0,0
2023-03-10,1807,8612,2319,517,198,0,0
2023-03-11,1063,4907,1335,321,162,0,0
2023-03-12,1509,7113,1824,382,171,0,0
2023-03-13,2238,11259,2916,674,235,0,0
2023-03-14,1694,7278,2158,472,158,0,0
2023-03-15,1780,7599,2258,504,189,0,0
2023-03-16,1599,6712,1981,388,164,0,0
2023-03-17,1279,5255,1603,332,145,0,0
2023-03-18,812,3279,982,222,152,0,0
2023-03-19,833,3263,1022,212,152,0,0
2023-03-20,1490,6745,1901,358,177,0,0
2023-03-21,1470,6400,1841,382,171,0,0
2023-03-22,1529,6197,1895,390,150,0,0
2023-03-23,1922,9078,2559,625,197,0,0
2023-03-24,1983,9327,2487,523,196,0,0
2023-03-25,1085,4221,1317,314,141,0,0
2023-03-26,957,3684,1152,225,129,0,0
2023-03-27,1897,8613,2388,508,174,0,0
2023-03-28,1859,8552,2370,511,180,0,0
2023-03-29,1747,7756,2249,543,178,0,0
2023-03-30,1912,9086,2426,493,157,0,0
2023-03-31,1644,7025,2066,529,177,0,0
2023-04-01,964,3554,1164,303,148,0,0
2023-04-02,878,3389,1069,231,117,0,0
2023-04-03,1822,8136,2319,427,185,0,0
2023-04-04,2065,9065,2716,524,148,0,0
2023-04-05,2083,9051,2728,594,168,0,0
2023-04-06,1797,6842,2369,1036,178,0,0
2023-04-07,1446,4691,1853,984,154,0,0
2023-04-08,985,3053,1277,736,141,0,0
2023-04-09,2132,5241,2503,1689,108,0,0
2023-04-10,2503,9025,3388,1830,174,0,0
2023-04-11,1879,6037,2341,1330,141,0,0
2023-04-12,1882,6866,2419,1305,171,0,0
2023-04-13,1667,5400,2165,1201,169,0,0
2023-04-14,1325,4259,1651,941,136,0,0
2023-04-15,905,2313,1093,683,91,0,0
2023-04-16,858,2388,1061,659,136,0,0
2023-04-17,1557,4897,1965,1132,166,0,0
2023-04-18,1423,4779,1910,1114,161,0,0
2023-04-19,1862,7019,2473,1250,188,0,0
2023-04-20,1423,4816,1920,1103,176,0,0
2023-04-21,1389,3917,1746,1032,127,0,0
2023-04-22,913,2431,1072,640,116,0,0
2023-04-23,857,2121,1002,596,111,0,0
2023-04-24,1580,5194,2013,1122,158,0,0
2023-04-25,2083,6242,2566,1483,144,0,0
2023-04-26,2082,6760,2722,1491,188,0,0
2023-04-27,2430,7159,3224,1944,122,0,0
2023-04-28,1661,5093,2177,1249,149,0,0
2023-04-29,995,3018,1380,841,124,0,0
2023-04-30,1267,4566,1734,951,188,0,0
2023-05-01,1896,7063,2663,1398,191,0,0
2023-05-02,1465,5038,1908,1129,188,0,0
2023-05-03,1481,5189,1886,1055,181,0,0
2023-05-04,1524,4927,1957,1093,162,0,0
2023-05-05,1145,3603,1470,839,194,0,0
2023-05-06,758,2090,951,614,101,0,0
2023-05-07,747,1998,926,590,107,0,0
2023-05-08,1258,4032,1610,986,140,0,0
2023-05-09,1309,4439,1639,970,151,0,0
2023-05-10,1397,4308,1725,1061,122,0,0
2023-05-11,1236,4051,1539,905,133,0,0
2023-05-12,1222,3245,1515,953,118,0,0
2023-05-13,774,1995,947,633,100,0,0
2023-05-14,650,1724,825,545,104,0,0
2023-05-15,1183,3808,1554,902,134,0,0
2023-05-16,1282,4305,1631,885,172,0,0
2023-05-17,1235,4174,1592,875,191,0,0
2023-05-18,1127,3653,1431,826,189,0,0
2023-05-19,1030,3340,1335,767,164,0,0
2023-05-20,700,2241,859,526,132,0,0
2023-05-21,773,2315,979,580,131,0,0
2023-05-22,1441,5005,1874,1009,171,0,0
2023-05-23,1342,4223,1733,978,156,0,0
2023-05-24,1239,4107,1608,945,170,0,0
2023-05-25,1693,5585,2139,1187,157,0,0
2023-05-26,1414,4053,1714,1010,145,0,0
2023-05-27,845,2110,1058,702,96,0,0
2023-05-28,702,2100,872,537,137,0,0
2023-05-29,1027,2693,1197,777,125,0,0
2023-05-30,1320,4032,1658,992,166,0,0
2023-05-31,1618,5163,2072,1195,172,0,0
